HSCode,value,country
74,3.07,BENIN
76,6.23,BENIN
78,0.03,BENIN
79,,BENIN
84,0.01,BENIN
85,3.85,BENIN
90,,BENIN
94,,BENIN
96,,BENIN
99,,BENIN
1,,BERMUDA
27,7.68,BERMUDA
85,0.01,BERMUDA
4,0.76,BHUTAN
7,0.02,BHUTAN
9,1.45,BHUTAN
15,2.47,BHUTAN
19,,BHUTAN
20,5.04,BHUTAN
21,0.41,BHUTAN
22,5.28,BHUTAN
23,,BHUTAN
25,35.72,BHUTAN
26,0.03,BHUTAN
27,138.66,BHUTAN
28,12.81,BHUTAN
30,0,BHUTAN
32,0.02,BHUTAN
38,0.03,BHUTAN
39,6.13,BHUTAN
40,0,BHUTAN
44,1.81,BHUTAN
49,,BHUTAN
51,,BHUTAN
52,,BHUTAN
56,,BHUTAN
59,,BHUTAN
65,,BHUTAN
68,0.55,BHUTAN
70,0,BHUTAN
72,158.6,BHUTAN
73,0.09,BHUTAN
74,,BHUTAN
76,,BHUTAN
82,0.01,BHUTAN
83,,BHUTAN
84,0.74,BHUTAN
85,0.2,BHUTAN
87,0.06,BHUTAN
88,0.05,BHUTAN
90,0,BHUTAN
94,0.02,BHUTAN
97,0,BHUTAN
99,0,BHUTAN
7,0.17,BOLIVIA
20,,BOLIVIA
25,2.23,BOLIVIA
26,0.04,BOLIVIA
29,0.01,BOLIVIA
30,,BOLIVIA
32,0.04,BOLIVIA
39,0,BOLIVIA
40,,BOLIVIA
41,0.45,BOLIVIA
44,,BOLIVIA
47,0.03,BOLIVIA
48,0,BOLIVIA
49,0.02,BOLIVIA
65,0.02,BOLIVIA
71,848.74,BOLIVIA
72,0.16,BOLIVIA
73,0.01,BOLIVIA
74,,BOLIVIA
76,0.25,BOLIVIA
81,,BOLIVIA
83,,BOLIVIA
84,0,BOLIVIA
85,0.05,BOLIVIA
22,0.1,BOSNIA-HRZGOVIN
28,1.05,BOSNIA-HRZGOVIN
38,0.02,BOSNIA-HRZGOVIN
39,0,BOSNIA-HRZGOVIN
40,,BOSNIA-HRZGOVIN
41,0,BOSNIA-HRZGOVIN
42,,BOSNIA-HRZGOVIN
44,0.39,BOSNIA-HRZGOVIN
46,,BOSNIA-HRZGOVIN
48,0.33,BOSNIA-HRZGOVIN
57,,BOSNIA-HRZGOVIN
62,0,BOSNIA-HRZGOVIN
63,,BOSNIA-HRZGOVIN
64,,BOSNIA-HRZGOVIN
69,,BOSNIA-HRZGOVIN
70,,BOSNIA-HRZGOVIN
72,0.03,BOSNIA-HRZGOVIN
73,0.15,BOSNIA-HRZGOVIN
76,0,BOSNIA-HRZGOVIN
82,0.01,BOSNIA-HRZGOVIN
83,0.01,BOSNIA-HRZGOVIN
84,0,BOSNIA-HRZGOVIN
85,0.04,BOSNIA-HRZGOVIN
87,0.32,BOSNIA-HRZGOVIN
90,0,BOSNIA-HRZGOVIN
94,0,BOSNIA-HRZGOVIN
99,,BOSNIA-HRZGOVIN
29,,BOTSWANA
30,0,BOTSWANA
39,,BOTSWANA
40,,BOTSWANA
41,0.01,BOTSWANA
71,974.29,BOTSWANA
72,0,BOTSWANA
73,0,BOTSWANA
74,0.11,BOTSWANA
76,0.05,BOTSWANA
82,0,BOTSWANA
84,0,BOTSWANA
85,0,BOTSWANA
87,,BOTSWANA
90,,BOTSWANA
94,0,BOTSWANA
98,0,BOTSWANA
7,0.56,BR VIRGN IS
26,3.12,BR VIRGN IS
27,0.12,BR VIRGN IS
28,2.78,BR VIRGN IS
29,0.36,BR VIRGN IS
32,0.07,BR VIRGN IS
34,0,BR VIRGN IS
38,0.16,BR VIRGN IS
39,0.2,BR VIRGN IS
40,0.78,BR VIRGN IS
48,0.01,BR VIRGN IS
49,0.01,BR VIRGN IS
56,0.05,BR VIRGN IS
58,,BR VIRGN IS
64,0.02,BR VIRGN IS
72,0.04,BR VIRGN IS
73,0.53,BR VIRGN IS
76,0.08,BR VIRGN IS
81,0.33,BR VIRGN IS
82,0.01,BR VIRGN IS
83,,BR VIRGN IS
84,2.96,BR VIRGN IS
85,3.46,BR VIRGN IS
86,0.02,BR VIRGN IS
87,0.2,BR VIRGN IS
90,0.18,BR VIRGN IS
96,0.8,BR VIRGN IS
1,0.21,BRAZIL
3,0,BRAZIL
5,0.06,BRAZIL
6,0,BRAZIL
7,45.5,BRAZIL
8,4.12,BRAZIL
9,8.07,BRAZIL
10,3.54,BRAZIL
11,,BRAZIL
12,0.18,BRAZIL
13,7.09,BRAZIL
15,468.6,BRAZIL
17,436.54,BRAZIL
18,0.03,BRAZIL
19,0,BRAZIL
20,2.57,BRAZIL
21,1.57,BRAZIL
22,0.01,BRAZIL
23,1.83,BRAZIL
24,1.36,BRAZIL
25,38.96,BRAZIL
26,300.41,BRAZIL
27,"1,596.79",BRAZIL
28,7.25,BRAZIL
29,127.2,BRAZIL
30,58.31,BRAZIL
31,,BRAZIL
32,13.88,BRAZIL
33,18.41,BRAZIL
34,1.68,BRAZIL
35,5.85,BRAZIL
37,0.06,BRAZIL
38,58.48,BRAZIL
39,61.18,BRAZIL
40,13.71,BRAZIL
41,20.31,BRAZIL
42,0.01,BRAZIL
43,0.08,BRAZIL
44,82.66,BRAZIL
45,0,BRAZIL
47,36.32,BRAZIL
48,15.34,BRAZIL
49,0.02,BRAZIL
50,0.1,BRAZIL
51,0.03,BRAZIL
52,6.24,BRAZIL
53,1.29,BRAZIL
54,0.48,BRAZIL
55,0.11,BRAZIL
56,0.26,BRAZIL
57,0,BRAZIL
58,0.04,BRAZIL
59,0.05,BRAZIL
60,,BRAZIL
61,0,BRAZIL
62,0,BRAZIL
63,0.01,BRAZIL
64,2.75,BRAZIL
65,,BRAZIL
68,8.03,BRAZIL
69,0.4,BRAZIL
70,6.06,BRAZIL
71,540.94,BRAZIL
72,92.27,BRAZIL
73,54.66,BRAZIL
74,2.61,BRAZIL
75,4.15,BRAZIL
76,4.76,BRAZIL
79,0,BRAZIL
81,0.35,BRAZIL
82,0.72,BRAZIL
83,3.79,BRAZIL
84,155.17,BRAZIL
85,18.31,BRAZIL
86,0.14,BRAZIL
87,33.38,BRAZIL
88,,BRAZIL
89,4.08,BRAZIL
90,18.22,BRAZIL
91,0,BRAZIL
93,0.01,BRAZIL
94,2.72,BRAZIL
95,0.01,BRAZIL
96,0.03,BRAZIL
97,0.01,BRAZIL
98,5.95,BRAZIL
99,0,BRAZIL
1,,BRUNEI
22,,BRUNEI
27,588.42,BRUNEI
28,0,BRUNEI
29,1.02,BRUNEI
34,,BRUNEI
38,0.74,BRUNEI
39,,BRUNEI
40,0.02,BRUNEI
41,0.14,BRUNEI
44,0.01,BRUNEI
47,0.01,BRUNEI
73,0.12,BRUNEI
76,0.01,BRUNEI
84,0.45,BRUNEI
85,0,BRUNEI
90,0.16,BRUNEI
94,0.01,BRUNEI
6,,BULGARIA
7,,BULGARIA
8,0,BULGARIA
9,0.18,BULGARIA
11,,BULGARIA
